"","ID","nsp","FRic","qual.FRic","FEve","FDiv","FDis","RaoQ"
"1",1,"11","19.4119012458926","0.789349120903093","0.622240527361309","0.722293506638292","3.0150866002504","9.78987841684893"
"2",16,"12","0.153161351099344","0.736021144043737","0.477767783147627","0.961846948178323","0.189675557384855","0.0658266230918691"
"3",17,"13","0.159656996392075","0.722336970603569","0.592659832031441","0.904800757148601","0.29903673053909","0.106745990174887"
"4",18,"24","0.245340955391232","0.444489604175476","0.530686453571365","0.829466592773695","0.187749504670189","0.0402022738689218"
"5",19,"22","0.288944255754033","0.378266217269174","0.523082721051393","0.917157698309366","0.202686203782388","0.0450241822488799"
"6",20,"25","0.24934992462859","0.386950005807989","0.355340656209886","0.946975891315065","0.203501528169786","0.0429730374848731"
"7",21,"15","0.322865301468121","0.599789982370926","0.394499894805135","0.626158874362239","0.169664229642155","0.0390280526683871"
"8",40,"14","19.2293006994603","0.694141891735985","0.438660705483288","0.854026107087165","2.8424142360796","8.75522469754186"
"9",42,"12","13.2684165173788","0.703491625412346","0.537202439484213","0.633718978992305","2.58723621607214","7.52778873091839"
"10",43,"11","0.354553257014119","0.617224690063486","0.453943935769939","0.895941636347538","0.168019832397077","0.0470630971509397"
"11",44,"5","8.45678516949644","0.924327868195758","0.612602799411999","0.536631847932943","1.28438057842678","2.35344750530546"
"12",45,"10","12.4423193822518","0.787298156134428","0.128099079223845","0.892686868624037","2.50029569615451","7.00203766872554"
"13",46,"6","0.192370425999321","0.80867440600521","0.614009009728164","0.85199632336653","0.248768761728696","0.0675176867716577"
"14",48,"6","8.19754231292531","0.926616288134659","0.507918000592507","0.964026035701014","1.91261110772859","3.87643999908001"
"15",49,"11","16.9737082766889","0.808025953862138","0.48144582616189","0.663244715280149","1.85861470310738","4.45308626075405"
"16",50,"7","11.1187195922775","0.80633339937966","0.527962461581887","0.925600116175692","1.23769053754474","2.56454207503886"
"17",100,"4","5.3829882883428","0.950820016130341","0.500659431509596","0.999886895946575","0.00550467691685936","0.0127435582238171"
"18",102,"3","4.95927209253903","1","0.58871846714266","0.921033783683301","1.6211131567781","3.03029002194489"
"19",134,"5","0.184424432747939","0.972202647527581","0.302796885645368","0.942047191843563","0.135316692373657","0.0422003819353201"
"20",135,"5","7.74586227206791","0.992250299507084","0.0880523257669052","0.985140915721308","0.247377281669484","0.443124261448369"
"21",140,"8","0.262182263602252","0.690197517397274","0.273937157154865","0.612822252579348","0.196519420637952","0.0446499281814834"
"22",141,"10","0.259260037876321","0.637317484970292","0.311332786674013","0.971432461452275","0.130240672217905","0.026441511284634"
"23",142,"12","0.221842337178812","0.567212192574859","0.541137001945976","0.934746193203347","0.172488970538244","0.0378000833534674"
"24",143,"only one sp","only one sp","only one sp","only one sp","only one sp","only one sp","only one sp"
"25",144,"2","3.74165738677394","1",NA,NA,"1.65480784793509","3.0958620039589"
"26",145,"only one sp","only one sp","only one sp","only one sp","only one sp","only one sp","only one sp"
"27",146,"only one sp","only one sp","only one sp","only one sp","only one sp","only one sp","only one sp"
"28",148,"4","0.116505352468653","0.965184171936331","0.270366900176066","0.952124925315497","0.0393557388449258","0.00749152078666958"
"29",149,"6","0.276701469077198","0.782907972436401","0.376530991085633","0.722567463850073","0.0944393138904317","0.0225592950463991"
"30",150,"3","6.06172922866383","1","0.949507235474142","0.989345242804408","0.733650743178843","1.4013360626225"
"31",137,"4","8.58688339780845","0.868017074531512","0.342636586446452","0.896167814767667","1.25482151141088","2.63768116438318"
"32",138,"5","0.196701756834545","0.747681941913804","0.0391117118021567","0.773185589037575","0.209063705221178","0.0538115551272212"
"33",139,"20","21.7876110864974","0.660466644450691","0.571929585764541","0.84915173484897","2.61849006720554","8.02794256771237"
"34",155,"20","22.7791267430512","0.681553502488101","0.428988142680415","0.949312903950929","3.22255997431119","11.5065444891618"
"35",159,"35","0.31830146525003","0.377560736626544","0.611127839398455","0.746960278609001","0.186321233193529","0.03802422747685"
"36",193,"10","0.377976679166419","0.604409392189752","0.268942083890793","0.73170502903971","0.141194503923083","0.0302930878352752"
"37",194,"15","0.243002299018808","0.527592888043564","0.59655263660081","0.773972696290472","0.169850275372648","0.0383881053955954"
"38",195,"17","0.252115685940357","0.45178372072148","0.399687449993055","0.719038819382452","0.223052829719231","0.0538265516009982"
"39",196,"23","0.506171714098235","0.29412189412387","0.718952854545013","0.894342423844425","0.195936920348308","0.0419796581096862"
"40",197,"22","0.423776606280812","0.344885472294807","0.446554994627068","0.903981780643923","0.247896526886986","0.0639626873272244"
"41",198,"28","0.400353551962047","0.29336801836613","0.557680763995562","0.922173404528347","0.270001762366423","0.0743731678119899"
"42",199,"28","0.526438958931827","0.219392673299491","0.609762628208196","0.838157824988381","0.203067802240618","0.0475741811579342"
"43",200,"2","1","1",NA,NA,"0.00956058012749416","0.00478029006374712"
"44",201,"9","0.370761243401515","0.572228223213432","0.525240655970423","0.764336075285165","0.240436830728751","0.0660709361669248"
"45",216,"8","0.369799500000433","0.622444415826887","0.507639860023073","0.72716542963088","0.2725656739235","0.0807311863520378"
"46",247,"5","0.15977956537972","0.673914930014702","0.471205440507842","0.820078180515608","0.213616443490817","0.0641297586512361"
"47",248,"6","0.204211873888938","0.790559079486239","0.255276017112666","0.627955940173325","0.139984285746266","0.0335529619899308"
"48",249,"6","0.18685155460258","0.745008533537448","0.740807060606297","0.684297812171682","0.254955052827978","0.0698462113502083"
"49",250,"8","0.211930651213715","0.721202373021511","0.688321114954878","0.478096252340194","0.137978113800504","0.0248990466866799"
"50",251,"10","0.183561394384444","0.577570909972065","0.68659201160437","0.824362662151652","0.229745994938442","0.0567469676656285"
"51",252,"2","3.74165738677394","1",NA,NA,"0.139201383566629","0.260421942535615"
"52",272,"2","3.74165738677394","1",NA,NA,"1.33266855924674","2.49319457941347"
"53",273,"3","5.71168163017296","1","0.834656010095813","0.844334740911826","1.75273476256074","3.57824197101737"
"54",274,"3","5.89434513628092","1","0.97542632327534","0.836871052225292","1.20727174315146","2.39780659801866"
"55",289,"4","6.31271638884911","0.857884795732619","0.0967996530739852","0.560810628967721","1.66096834670544","2.90849450887387"
"56",290,"4","6.0228315911882","0.855007076666033","0.617395381778691","0.686408165574639","1.19404872892646","2.30270606634959"
"57",291,"4","7.10733700947047","0.823414989671861","0.749075731777097","0.670154879631951","1.56529816764432","2.64228795642902"
"58",292,"4","0.156058922994357","0.883561570877862","0.543815807229374","0.980589193289619","0.067423326643504","0.0221975480173782"
"59",293,"18","0.270587280236169","0.546065775222097","0.389254117141752","0.439467558997213","0.145460588845916","0.0273035784838532"
"60",297,"10","14.0530550040667","0.797056962999899","0.397535910884066","0.844352213141004","1.88549487072691","5.29006805672816"
"61",298,"9","13.3195129580576","0.797700642469093","0.454314047088574","0.829727169813547","1.73662403037414","4.43875046281735"
"62",299,"34","0.424058708777893","0.342279805807589","0.486491997539296","0.798330776523113","0.19948379527843","0.047381738765385"
"63",2,"38","0.356453370632437","0.284820399755938","0.464400219375767","0.922440142723732","0.202852324214313","0.0466617609531713"
"64",3,"32","0.290108916819899","0.353837383703983","0.495570713202357","0.892097398116247","0.200460907520818","0.0470413268365388"
"65",41,"28","0.357387882779006","0.393754084445019","0.473687964284193","0.657369735663796","0.127837201841161","0.0202589681500608"
"66",47,"28","0.371896671574327","0.373859019536853","0.493870688620757","0.829478129050486","0.190556170570787","0.0430168717820432"
"67",83,"21","0.340809179901943","0.548314588230156","0.529098562774807","0.831460254983859","0.176093933279362","0.0405748361706872"
"68",84,"5","1.12948627501812","0.857739227366331","0.755378463564072","0.957384666601362","0.29447118375498","0.120617018104957"
"69",85,"6","1.01747040397337","0.785688101127541","0.757707234194834","0.945878537234307","0.364880772083327","0.148540581269722"
"70",94,"8","1.64772331934315","0.576112157327111","0.712584057617524","0.745883874873453","0.145103075151682","0.0388594562012805"
"71",114,"20","0.397527499937925","0.464827634130804","0.678720979604747","0.693511708611628","0.201508279810349","0.0480102376786515"
"72",115,"20","0.309019298576499","0.453821708282185","0.383403149774393","0.656494974898648","0.13015105388915","0.0192250142855771"
"73",136,"13","0.260326293589974","0.625480269741454","0.471484840867833","0.688707590711093","0.217212300630355","0.0535010935555417"
"74",147,"25","1.01493977986078","0.28646577173692","0.435172538198988","0.848361444956858","0.173660261256324","0.0386458615330685"
"75",151,"29","0.559993544707027","0.24837394233307","0.503026186769359","0.76797820642524","0.173463866042456","0.0335889471016071"
"76",152,"23","0.321024432895078","0.438835551233545","0.38450329476144","0.872040152450806","0.242299589340552","0.0642205670313249"
"77",153,"14","16.7519596275925","0.723044006832792","0.635193928368313","0.859176466692621","2.57042070198254","6.99907506960741"
"78",154,"15","19.4507673021913","0.77317458803871","0.730049196174944","0.971283806417304","2.12939882162707","6.12006318123875"
"79",156,"18","20.5741858089221","0.871069657506003","0.340359200943307","0.542027853475456","1.51068077445107","2.63569594040204"
"80",158,"5","0.290449702019682","0.933544347518683","0.648106480316172","0.95807510255027","0.165663177642865","0.0499927372218999"
"81",160,"3","5.02229393634129","1","0.277871802834408","0.96620275809795","0.816359757845655","1.71270299023158"
"82",161,"4","0.1339008503363","0.882716529640212","0.0294427811404851","0.736306677990812","0.118394626397414","0.022707484210775"
"83",162,"12","0.61177012740202","0.517259651271637","0.721921120011432","0.9271215109154","0.277101689285637","0.082408417715306"
"84",214,"21","25.2293457255016","0.750443447785413","0.225564379058368","0.886170166248144","3.08873848369456","10.3681830205202"
"85",215,"14","17.6643344970253","0.756736233078856","0.526522022964761","0.96286688977155","1.95790277256528","6.352637545161"
"86",294,"21","0.206245217407523","0.610948551213362","0.328715553242726","0.920812694003261","0.19328881670055","0.0487131047267815"
"87",295,"12","13.2408830342799","0.750766105282669","0.482917541797149","0.950783329397814","1.15706696751832","3.02051609539329"
"88",296,"4","6.93117588591594","0.8537657003344","0.808854401722777","0.594075099867295","1.83981656162352","3.57909762774818"
"89",103,"3","5.80469250611479","1","0.583471282028105","0.919167954388901","1.74658758121236","3.46971663469599"
"90",157,"2","3.74165738677394","1",NA,NA,"0.490263037476455","0.917198157818003"
